"Организация","ИНН","Ответственное лицо","№ дела","Тип","Статус взаимодействия","Статус","Сайт","Производитель ТС ОРМ","Отрасль","Владелец СОРМ"
"ООО Команда Кравченко","2311243962","ТМА","435","Источник ЕИАС","Передан в работу","Требуется действие","кравченко.рф","","Другое",""
"ЧОУ ДПО автошкола Лидер","2302050298","ТМА","","","","","автошкола-армавир.рф","","",""
"ИП Резго Е.Л.","2330945844","ТМА","463","Источник ЕИАС","Передан в работу","Требуется действие","cmstore.ru","","Электроника",""
"ООО МК ВНР","2308281333","ТМА","473","Организатор распространения информации","Пуско наладка","Действий не требуется","vrukah.com","","Здравоохранение",""
"ООО ЛДЦ Клиника Солнечная","2309151400","ТМА","440","Организатор распространения информации","Передан в работу","Действий не требуется","sun-clinic.ru","Норси-Транс","Здравоохранение",""
"ООО Городские Парковки","2311149085","ТМА","","Источник ЕИАС","Передан в работу","Действий не требуется","parkingkrd.ru","","",""
"ООО Страйк Фитнес","2310078890","ТМА","","Организатор распространения информации","В РКН","Требуется действие","fitness-orange.ru","","Другое",""
"ИП Шкаленов","2225105408","ТМА","","","","","аренда-авто-сочи.рф","","",""
"ООО Шале Сантэ","2308227897","ТМА","","","","","шале-сантэ.рф","","",""
"ООО Техника будущего","2308282231","ТМА","","","","","iqmac.ru","","",""
"ООО Догма-Сити","2308271310","ТМА","","Организатор распространения информации","В РКН","Требуется действие","dogma.ru","","Строительство",""
"ООО УК Тургенев","2312271930","ТМА","764","Источник ЕИАС","Подписание документов","Требуется действие","","","Коммунальные услуги",""
"ООО Фирма Карни","2311054002","ТМА","","","","","karni23.ru","","",""
"ООО Профтехнология","2311364879","ТМА","","","","","profteh.com","","",""
"АО Новороссийский Автокомбинат","2315007268","ТМА","","","","","avtoshkola-nak.ru, novautok.ru","","",""
"ООО Точка знаний","2311347344","ТМА","","","","","tochka-school.ru","","",""
"НАН ЧОУ ВО Академия ИМСИТ","2311023830","ТМА","","","","","autoshkola-lada.ru, imsit.ru","","",""
